,City,Total score,Quality of life score,Family score,Cost,Internet,Fun,Safety,Lack of crime,Lack of racism,Education level,Income level,English speaking,Walkability,Traffic safety,Happiness,Nightlife,Free WiFi in city,A/C or heating,Friendly to foreigners,Freedom of speech,Female friendly,LGBTQ+ friendly,Startup Score,Hospitals,Country,Continent,Ciudad_Country,Latitude,Longitude
714,Davenport,3.22,Okay,Okay,Okay,Fast,Okay,Good,Good,Great,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Great,United States,North America,"Davenport, United States",41.5235808,-90.5770967
715,Trento,3.06,Good,Okay,Pricey,Fast,Good,Good,Great,Bad,High,Mediocre,Okay,Great,Okay,Okay,Okay,Good,Good,Good,Good,Great,Okay,Okay,Bad,Italy,Europe,"Trento, Italy",46.1030443,11.129840331695068
716,Nanaimo,3.04,Good,Good,Pricey,Fast,Bad,Good,Good,Great,High,High,Great,Great,Okay,Great,Bad,Good,Okay,Okay,Great,Great,Great,Okay,Unknown,Canada,North America,"Nanaimo, Canada",49.163877,-123.938122
717,Trier,3.05,Good,Okay,Pricey,Fast,Okay,Good,Great,Good,High,High,Good,Great,Okay,Good,Okay,Okay,Unknown,Unknown,Great,Great,Great,Okay,Great,Germany,Europe,"Trier, Germany",49.7596208,6.6441878
718,Bellingham,3.05,Good,Good,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Bad,Good,Bad,Great,Good,Good,Great,Okay,Great,United States,North America,"Bellingham, United States",48.7544012,-122.478836
719,Wenling,2.98,Okay,Bad,Affordable,Unusably slow,Bad,Great,Great,Bad,Mediocre,Very low,Bad,Okay,Bad,Okay,Bad,Bad,Bad,Bad,Unknown,Okay,Bad,Bad,Unknown,China,Asia,"Wenling, China",28.3754144,121.3812013
720,Joplin,3.08,Okay,Okay,Pricey,Fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Great,United States,North America,"Joplin, United States",37.08418,-94.51323
721,Taizhou,3.01,Okay,Bad,Affordable,Unusably slow,Okay,Great,Great,Bad,Mediocre,Very low,Bad,Bad,Bad,Okay,Bad,Okay,Bad,Okay,Unknown,Okay,Bad,Bad,Bad,China,Asia,"Taizhou, China",28.6581723,121.4163876
722,Kollam,3.09,Okay,Bad,Cheap,Fast,Okay,Good,Good,Okay,Low,Very low,Okay,Okay,Bad,Bad,Bad,Okay,Good,Okay,Okay,Bad,Bad,Okay,Unknown,India,Asia,"Kollam, India",8.8879509,76.5955013
723,Cedar Rapids,3.24,Good,Okay,Okay,Super fast,Okay,Good,Good,Great,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Cedar Rapids, United States",41.9758872,-91.6704053
724,Bridgeton,3.16,Okay,Okay,Pricey,Super fast,Okay,Good,Good,Okay,High,Very high,Great,Bad,Okay,Good,Okay,Good,Good,Okay,Good,Okay,Great,Okay,Unknown,United States,North America,"Bridgeton, United States",38.7566055,-90.42352
725,Puebla,3.07,Okay,Bad,Affordable,Good,Okay,Okay,Bad,Okay,Mediocre,Very low,Bad,Great,Okay,Good,Good,Bad,Bad,Okay,Bad,Okay,Great,Bad,Unknown,Mexico,Latin America,"Puebla, Mexico",18.833333,-98.0
726,Trieste,3.03,Good,Okay,Okay,Fast,Okay,Good,Great,Bad,High,Mediocre,Okay,Great,Okay,Okay,Okay,Great,Good,Good,Good,Great,Bad,Okay,Great,Italy,Europe,"Trieste, Italy",45.6496485,13.7772781
727,Huntsville,3.14,Okay,Okay,Pricey,Super fast,Bad,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Good,Okay,Good,Okay,Great,Okay,Good,United States,North America,"Huntsville, United States",34.729847,-86.5859011
728,Nashik,3.15,Okay,Bad,Cheap,Fast,Okay,Good,Good,Bad,Low,Very low,Okay,Great,Bad,Bad,Good,Bad,Bad,Okay,Okay,Bad,Bad,Okay,Unknown,India,Asia,"Nashik, India",20.0112475,73.7902364
729,Isla Mujeres,3.08,Okay,Bad,Affordable,Fast,Okay,Okay,Bad,Okay,Mediocre,Very low,Bad,Okay,Okay,Good,Okay,Okay,Unknown,Unknown,Bad,Okay,Great,Bad,Unknown,Mexico,Latin America,"Isla Mujeres, Mexico",21.2321047,-86.73222812171971
730,Geneva,3.05,Good,Good,Way too expensive,Fast,Good,Good,Great,Okay,High,Very high,Okay,Great,Okay,Great,Okay,Okay,Okay,Great,Great,Good,Good,Okay,Unknown,Switzerland,Europe,"Geneva, Switzerland",46.2017559,6.1466014
731,Andorra La Vella,3.06,Good,Good,Pricey,Super fast,Unknown,Great,Great,Unknown,Mediocre,Mediocre,Okay,Great,Okay,Unknown,Okay,Unknown,Good,Unknown,Good,Great,Great,Bad,Unknown,Andorra,Europe,"Andorra La Vella, Andorra",42.5069391,1.5212467
732,Conakry,3.04,Bad,Bad,Affordable,Unusably slow,Bad,Okay,Okay,Okay,Very low,Very low,Bad,Bad,Bad,Bad,Bad,Bad,Okay,Okay,Okay,Okay,Bad,Bad,Unknown,Guinea,Africa,"Conakry, Guinea",9.5170602,-13.6998434
733,Nicosia,3.05,Okay,Okay,Pricey,Good,Good,Good,Good,Okay,High,Low,Good,Great,Okay,Okay,Good,Bad,Good,Bad,Good,Good,Okay,Okay,Unknown,Cyprus,Europe,"Nicosia, Cyprus",35.1748976,33.3638568
734,Dahab,2.94,Okay,Bad,Affordable,Good,Bad,Okay,Good,Okay,Mediocre,Very low,Bad,Great,Bad,Bad,Bad,Bad,Okay,Okay,Bad,Okay,Bad,Bad,Unknown,Egypt,Middle East,"Dahab, Egypt",28.4963633,34.5145652
735,Shiraz,2.66,Okay,Bad,Affordable,Slow,Bad,Good,Good,Bad,Mediocre,Very low,Bad,Great,Bad,Bad,Bad,Okay,Bad,Bad,Bad,Bad,Bad,Bad,Okay,Iran,Middle East,"Shiraz, Iran",29.6060218,52.5378041
736,High Point,3.0,Good,Okay,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Great,United States,North America,"High Point, United States",35.9556924,-80.0053176
737,Puning,3.01,Okay,Bad,Affordable,Unusably slow,Bad,Great,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Bad,Bad,Bad,Okay,Unknown,Okay,Bad,Bad,Unknown,China,Asia,"Puning, China",23.2790444,116.0876485
738,Pasco,3.04,Good,Okay,Pricey,Fast,Okay,Good,Good,Great,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Good,United States,North America,"Pasco, United States",28.2996183,-82.4522702
739,Vitoria,3.01,Okay,Bad,Affordable,Slow,Okay,Bad,Very bad,Okay,Mediocre,Very low,Bad,Great,Bad,Good,Okay,Bad,Bad,Okay,Okay,Bad,Great,Bad,Bad,Brazil,Latin America,"Vitoria, Brazil",-20.3200917,-40.3376682
740,Cambridge,3.07,Good,Good,Too expensive,Fast,Bad,Great,Great,Great,High,High,Great,Great,Okay,Good,Bad,Bad,Okay,Great,Good,Good,Great,Okay,Great,United Kingdom,Europe,"Cambridge, United Kingdom",52.2055314,0.1186637
741,Nanjing,3.05,Okay,Bad,Affordable,Unusably slow,Good,Great,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Good,Okay,Good,Good,Unknown,Good,Okay,Bad,Good,China,Asia,"Nanjing, China",32.0615652,118.7915079
742,Sochi,3.01,Okay,Bad,Affordable,Slow,Bad,Conflict / political instability,Bad,Bad,High,Very low,Bad,Great,Bad,Okay,Okay,Okay,Unknown,Unknown,Bad,Okay,Bad,Bad,Unknown,Russia,Europe,"Sochi, Russia",43.5854823,39.723109
743,Rabat,3.06,Okay,Bad,Affordable,Good,Good,Good,Good,Bad,Low,Very low,Bad,Okay,Bad,Okay,Okay,Bad,Okay,Good,Okay,Good,Bad,Bad,Bad,Morocco,Africa,"Rabat, Morocco",34.022405,-6.834543
744,Bandung,3.21,Okay,Bad,Cheap,Good,Okay,Great,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Bad,Okay,Okay,Good,Okay,Bad,Bad,Bad,Unknown,Indonesia,Asia,"Bandung, Indonesia",-6.9344694,107.6049539
745,Zhongshan,2.79,Okay,Bad,Affordable,Unusably slow,Bad,Great,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Bad,Bad,Bad,Bad,Unknown,Okay,Bad,Bad,Unknown,China,Asia,"Zhongshan, China",22.5213807,113.3656141
746,St Cloud,3.03,Good,Okay,Pricey,Super fast,Okay,Great,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Unknown,United States,North America,"St Cloud, United States",45.5616075,-94.1642004
747,Nottingham,3.06,Good,Good,Too expensive,Fast,Okay,Good,Great,Great,High,High,Great,Great,Okay,Good,Good,Okay,Bad,Good,Good,Great,Great,Okay,Great,United Kingdom,Europe,"Nottingham, United Kingdom",52.9534193,-1.1496461
748,Lelystad,3.02,Good,Okay,Pricey,Fast,Okay,Good,Great,Okay,High,High,Good,Great,Okay,Great,Bad,Good,Okay,Good,Great,Good,Great,Okay,Good,Netherlands,Europe,"Lelystad, Netherlands",52.5150949,5.4768915
749,Zunyi,2.98,Okay,Bad,Affordable,Unusably slow,Bad,Great,Great,Bad,Mediocre,Very low,Bad,Bad,Bad,Okay,Bad,Bad,Bad,Okay,Unknown,Okay,Bad,Bad,Unknown,China,Asia,"Zunyi, China",27.7237996,106.9191408
750,Taiyuan,2.65,Okay,Bad,Affordable,Unusably slow,Okay,Great,Great,Bad,Mediocre,Very low,Bad,Bad,Bad,Okay,Bad,Bad,Bad,Okay,Unknown,Okay,Bad,Bad,Unknown,China,Asia,"Taiyuan, China",37.870009,112.5452739
751,Qingdao,2.72,Okay,Bad,Affordable,Unusably slow,Okay,Good,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Okay,Good,Good,Okay,Unknown,Good,Okay,Bad,Bad,China,Asia,"Qingdao, China",36.0638034,120.3781372
752,Lansing,3.07,Okay,Okay,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Bad,Great,Okay,Great,United States,North America,"Lansing, United States",42.7337712,-84.5553805
753,Strasbourg,3.08,Good,Okay,Pricey,Fast,Okay,Good,Good,Okay,High,Mediocre,Okay,Okay,Okay,Good,Okay,Good,Okay,Okay,Good,Okay,Great,Okay,Great,France,Europe,"Strasbourg, France",48.584614,7.7507127
754,Chongqing,3.01,Okay,Bad,Cheap,Unusably slow,Okay,Good,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Okay,Good,Good,Okay,Unknown,Good,Okay,Bad,Great,China,Asia,"Chongqing, China",29.5647398,106.5478767
755,Joao Pessoa,3.02,Okay,Bad,Affordable,Slow,Bad,Okay,Very bad,Bad,Mediocre,Very low,Bad,Great,Bad,Good,Good,Okay,Bad,Okay,Okay,Okay,Great,Bad,Bad,Brazil,Latin America,"Joao Pessoa, Brazil",-7.1215981,-34.882028
756,Barrie,2.72,Good,Good,Pricey,Fast,Bad,Good,Good,Great,High,High,Great,Great,Okay,Great,Okay,Okay,Great,Good,Great,Great,Great,Okay,Good,Canada,North America,"Barrie, Canada",44.3893113,-79.6901736
757,Jackson,3.14,Good,Okay,Pricey,Fast,Okay,Good,Good,Good,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Great,United States,North America,"Jackson, United States",32.2990021,-90.1847691
758,Mbuji Mayi,3.04,Bad,Bad,Affordable,Unusably slow,Bad,Bad,Bad,Bad,Low,Very low,Okay,Great,Bad,Unknown,Bad,Bad,Bad,Okay,Unknown,Bad,Bad,Bad,Unknown,DR Congo,Africa,"Mbuji Mayi, DR Congo",-6.1258942,23.5998111
759,Rockford,3.13,Okay,Okay,Pricey,Super fast,Okay,Okay,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Okay,Great,Okay,Great,United States,North America,"Rockford, United States",42.2713945,-89.093966
760,Algiers,3.13,Okay,Bad,Affordable,Unusably slow,Okay,Okay,Good,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Bad,Bad,Okay,Bad,Okay,Bad,Bad,Bad,Unknown,Algeria,Africa,"Algiers, Algeria",36.7753606,3.0601882
761,La Crosse,3.12,Good,Good,Pricey,Super fast,Okay,Great,Good,Good,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Great,United States,North America,"La Crosse, United States",43.8014053,-91.2395429
762,A Coruna,2.98,Good,Okay,Okay,Fast,Okay,Good,Great,Bad,High,Mediocre,Bad,Great,Okay,Good,Okay,Okay,Bad,Good,Good,Good,Great,Bad,Good,Spain,Europe,"A Coruna, Spain",43.3709703,-8.3959425
763,Beijing,3.14,Good,Okay,Okay,Unusably slow,Okay,Good,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Bad,Okay,Good,Okay,Unknown,Okay,Bad,Bad,Great,China,Asia,"Beijing, China",39.906217,116.3912757
764,Burlington,3.02,Good,Good,Too expensive,Super fast,Okay,Great,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Great,Great,Okay,Great,United States,North America,"Burlington, United States",44.4761601,-73.212906
765,Bucaramanga,3.12,Okay,Bad,Cheap,Slow,Okay,Bad,Very bad,Okay,Mediocre,Very low,Bad,Okay,Bad,Good,Good,Unknown,Okay,Okay,Okay,Okay,Great,Bad,Bad,Colombia,Latin America,"Bucaramanga, Colombia",7.1172633,-73.1156668
766,York,2.95,Good,Okay,Too expensive,Fast,Okay,Good,Great,Okay,High,High,Great,Great,Okay,Good,Okay,Good,Bad,Okay,Good,Okay,Great,Okay,Great,United Kingdom,Europe,"York, United Kingdom",53.9590555,-1.0815361
767,Matara,3.3,Okay,Bad,Cheap,Good,Good,Good,Good,Bad,High,Very low,Bad,Bad,Okay,Bad,Bad,Okay,Okay,Good,Okay,Bad,Bad,Bad,Unknown,Sri Lanka,Asia,"Matara, Sri Lanka",5.947822,80.5482919
768,Tashkent,3.23,Okay,Bad,Cheap,Unusably slow,Okay,Good,Good,Unknown,Mediocre,Very low,Bad,Great,Okay,Okay,Okay,Bad,Bad,Good,Bad,Okay,Bad,Bad,Okay,Uzbekistan,Asia,"Tashkent, Uzbekistan",41.3123363,69.2787079
769,Avellino,2.99,Okay,Okay,Affordable,Fast,Bad,Good,Great,Bad,High,Mediocre,Bad,Great,Okay,Okay,Bad,Bad,Great,Good,Good,Okay,Bad,Bad,Good,Italy,Europe,"Avellino, Italy",40.9965446,15.1405690365004
770,Hannover,3.04,Good,Okay,Pricey,Fast,Okay,Good,Great,Good,High,High,Good,Great,Okay,Good,Okay,Okay,Great,Good,Great,Great,Great,Okay,Great,Germany,Europe,"Hannover, Germany",52.3744779,9.7385532
771,Yiwu,2.9,Okay,Bad,Affordable,Unusably slow,Bad,Great,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Bad,Bad,Bad,Okay,Unknown,Okay,Bad,Bad,Unknown,China,Asia,"Yiwu, China",29.3093002,120.0703805
772,Shreveport,3.02,Okay,Okay,Pricey,Super fast,Okay,Good,Good,Okay,High,Very high,Great,Bad,Okay,Good,Okay,Good,Unknown,Unknown,Good,Bad,Great,Okay,Great,United States,North America,"Shreveport, United States",32.5221828,-93.7651944
773,The Hague,3.0,Good,Good,Too expensive,Fast,Good,Good,Great,Good,High,High,Great,Great,Okay,Great,Okay,Good,Okay,Great,Great,Great,Great,Okay,Great,Netherlands,Europe,"The Hague, Netherlands",52.0799838,4.3113461
774,Konya,2.86,Okay,Bad,Cheap,Good,Okay,Good,Good,Okay,Mediocre,Very low,Bad,Bad,Okay,Okay,Bad,Okay,Good,Okay,Bad,Okay,Bad,Bad,Good,Turkey,Europe,"Konya, Turkey",37.8725487,32.4942749
775,San Luis Potosi,3.06,Okay,Bad,Affordable,Slow,Bad,Okay,Bad,Okay,Mediocre,Very low,Bad,Great,Okay,Good,Good,Okay,Bad,Okay,Bad,Bad,Great,Bad,Unknown,Mexico,Latin America,"San Luis Potosi, Mexico",22.5000001,-100.4949145
776,Breda,3.04,Good,Good,Too expensive,Fast,Good,Great,Great,Okay,High,High,Good,Great,Okay,Great,Okay,Good,Okay,Okay,Great,Good,Great,Okay,Great,Netherlands,Europe,"Breda, Netherlands",51.5887845,4.7760237
777,Pasto,3.06,Okay,Bad,Cheap,Slow,Okay,Bad,Very bad,Bad,Mediocre,Very low,Bad,Okay,Bad,Good,Okay,Bad,Bad,Okay,Okay,Okay,Great,Bad,Bad,Colombia,Latin America,"Pasto, Colombia",1.2146013,-77.2782755
778,Port Of Spain,3.03,Okay,Okay,Affordable,Fast,Good,Bad,Very bad,Okay,Mediocre,Low,Okay,Great,Bad,Good,Good,Okay,Bad,Good,Good,Okay,Okay,Bad,Unknown,Trinidad and Tobago,Latin America,"Port Of Spain, Trinidad and Tobago",10.6572678,-61.5180173
779,Patna,2.96,Okay,Bad,Cheap,Fast,Good,Good,Good,Okay,Low,Very low,Okay,Great,Bad,Bad,Bad,Bad,Bad,Okay,Okay,Bad,Bad,Bad,Good,India,Asia,"Patna, India",25.6093239,85.1235252
780,Campos Dos Goytacazes,2.99,Okay,Bad,Affordable,Slow,Okay,Bad,Very bad,Okay,Mediocre,Very low,Bad,Bad,Bad,Good,Okay,Bad,Bad,Okay,Okay,Bad,Great,Bad,Unknown,Brazil,Latin America,"Campos Dos Goytacazes, Brazil",-21.7558619,-41.3326895
781,Granada,2.92,Good,Okay,Okay,Fast,Okay,Good,Great,Bad,High,Mediocre,Bad,Great,Okay,Good,Bad,Bad,Okay,Okay,Good,Good,Great,Bad,Great,Spain,Europe,"Granada, Spain",37.1734995,-3.5995337
782,Rogers,3.08,Good,Okay,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Bad,United States,North America,"Rogers, United States",36.3320197,-94.1185366
783,Oran,3.01,Okay,Bad,Affordable,Unusably slow,Bad,Okay,Good,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Bad,Bad,Bad,Bad,Okay,Bad,Bad,Bad,Unknown,Algeria,Africa,"Oran, Algeria",35.7032751,-0.6492976
784,Oslo,3.12,Good,Good,Too expensive,Fast,Good,Good,Great,Good,Very high,Very high,Good,Bad,Okay,Great,Okay,Okay,Bad,Good,Great,Good,Great,Okay,Great,Norway,Europe,"Oslo, Norway",59.9133301,10.7389701
785,Treviso,3.02,Good,Okay,Okay,Fast,Good,Good,Great,Bad,High,Mediocre,Okay,Great,Okay,Okay,Good,Great,Good,Okay,Good,Good,Bad,Okay,Great,Italy,Europe,"Treviso, Italy",45.806691349999994,12.206315763116372
786,Hemet,3.09,Okay,Okay,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Bad,United States,North America,"Hemet, United States",33.7475203,-116.9719684
787,Coventry,2.97,Good,Good,Too expensive,Fast,Bad,Great,Great,Great,High,High,Great,Great,Okay,Good,Okay,Okay,Bad,Okay,Good,Great,Great,Okay,Good,United Kingdom,Europe,"Coventry, United Kingdom",52.4081812,-1.510477
788,Reading,3.02,Good,Good,Too expensive,Fast,Okay,Great,Great,Great,High,High,Great,Great,Okay,Good,Good,Okay,Good,Okay,Good,Good,Great,Okay,Great,United Kingdom,Europe,"Reading, United Kingdom",51.456659,-0.9696512
789,Chamonix,3.02,Good,Okay,Pricey,Fast,Okay,Good,Good,Unknown,High,Mediocre,Okay,Bad,Okay,Good,Okay,Okay,Okay,Bad,Good,Okay,Great,Okay,Unknown,France,Europe,"Chamonix, France",45.92956455,6.934005265146571
790,Cozumel,3.27,Okay,Okay,Affordable,Good,Good,Okay,Bad,Okay,Mediocre,Very low,Bad,Great,Okay,Good,Good,Okay,Good,Good,Bad,Okay,Great,Bad,Unknown,Mexico,Latin America,"Cozumel, Mexico",20.4317585,-86.92027456597663
791,Waco,2.98,Okay,Okay,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Bad,Great,Okay,Good,United States,North America,"Waco, United States",31.549333,-97.1466695
792,Bournemouth,3.04,Good,Good,Too expensive,Fast,Okay,Great,Great,Great,High,High,Great,Great,Okay,Good,Good,Okay,Bad,Great,Good,Great,Great,Okay,Great,United Kingdom,Europe,"Bournemouth, United Kingdom",50.7194784,-1.8767712
793,Fort Mcmurray,3.04,Good,Good,Pricey,Fast,Bad,Good,Good,Great,High,High,Great,Okay,Okay,Great,Okay,Bad,Okay,Good,Great,Great,Great,Okay,Unknown,Canada,North America,"Fort Mcmurray, Canada",56.7291997,-111.3885221
794,Changshu,2.97,Okay,Bad,Affordable,Unusably slow,Bad,Great,Great,Bad,Mediocre,Very low,Bad,Bad,Bad,Okay,Okay,Bad,Bad,Okay,Unknown,Okay,Okay,Bad,Unknown,China,Asia,"Changshu, China",31.666960500000002,120.79080112776134
795,Leuven,2.96,Good,Okay,Pricey,Super fast,Okay,Good,Good,Okay,High,High,Good,Bad,Okay,Good,Okay,Good,Okay,Okay,Great,Okay,Great,Okay,Great,Belgium,Europe,"Leuven, Belgium",50.879202,4.7011675
796,Guayaquil,3.0,Okay,Bad,Affordable,Slow,Okay,Good,Okay,Okay,Mediocre,Very low,Bad,Great,Bad,Okay,Bad,Unknown,Okay,Okay,Okay,Okay,Great,Bad,Good,Ecuador,Latin America,"Guayaquil, Ecuador",-2.2895167,-80.0983887437901
797,Antofagasta,3.07,Okay,Okay,Affordable,Good,Bad,Good,Good,Good,High,Very low,Bad,Great,Okay,Good,Okay,Bad,Unknown,Unknown,Good,Bad,Great,Bad,Bad,Chile,Latin America,"Antofagasta, Chile",-23.6463741,-70.3980033
798,Dalian,3.02,Okay,Bad,Affordable,Unusably slow,Okay,Good,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Bad,Bad,Bad,Good,Unknown,Okay,Bad,Bad,Bad,China,Asia,"Dalian, China",38.9181714,121.6282945
799,Santa Fe,2.98,Good,Okay,Pricey,Fast,Good,Good,Good,Okay,High,Very high,Good,Bad,Okay,Good,Good,Good,Good,Okay,Good,Good,Great,Okay,Good,United States,North America,"Santa Fe, United States",35.6876096,-105.9384569
800,Heidelberg,3.13,Good,Okay,Pricey,Fast,Okay,Good,Great,Okay,High,High,Good,Okay,Okay,Good,Okay,Okay,Good,Okay,Great,Good,Great,Okay,Great,Germany,Europe,"Heidelberg, Germany",49.4093582,8.694724
801,Darmstadt,3.04,Good,Okay,Pricey,Fast,Okay,Good,Great,Okay,High,High,Good,Great,Okay,Good,Okay,Okay,Okay,Okay,Great,Okay,Great,Okay,Good,Germany,Europe,"Darmstadt, Germany",49.872775,8.651177
802,San Salvador,2.99,Okay,Bad,Affordable,Slow,Okay,Bad,Very bad,Unknown,Mediocre,Very low,Bad,Okay,Bad,Okay,Good,Good,Okay,Good,Unknown,Bad,Bad,Bad,Bad,El Salvador,Latin America,"San Salvador, El Salvador",13.6989939,-89.1914249
803,Virginia Beach,3.02,Good,Okay,Too expensive,Super fast,Good,Good,Good,Okay,High,Very high,Great,Great,Okay,Good,Good,Good,Good,Okay,Good,Okay,Great,Okay,Bad,United States,North America,"Virginia Beach, United States",36.8529841,-75.9774183
804,Sihanoukville,2.91,Bad,Bad,Affordable,Good,Bad,Okay,Good,Bad,Low,Very low,Bad,Okay,Bad,Bad,Bad,Bad,Bad,Bad,Okay,Bad,Bad,Bad,Unknown,Cambodia,Asia,"Sihanoukville, Cambodia",10.50614075,103.26205644863938
805,Ningbo,2.94,Okay,Bad,Affordable,Unusably slow,Bad,Good,Great,Bad,Mediocre,Very low,Bad,Bad,Bad,Okay,Bad,Okay,Bad,Okay,Unknown,Okay,Bad,Bad,Good,China,Asia,"Ningbo, China",29.8622194,121.6203873
806,Suzhou,3.01,Okay,Bad,Affordable,Unusably slow,Okay,Great,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Okay,Bad,Good,Okay,Unknown,Good,Bad,Bad,Okay,China,Asia,"Suzhou, China",31.3016935,120.5810725
807,Nagoya,3.0,Good,Okay,Affordable,Fast,Good,Great,Great,Okay,High,High,Bad,Great,Okay,Okay,Okay,Bad,Great,Bad,Good,Good,Okay,Bad,Good,Japan,Asia,"Nagoya, Japan",35.1851045,136.8998438
808,Zhangzhou,3.02,Okay,Bad,Affordable,Unusably slow,Bad,Great,Great,Bad,Mediocre,Very low,Bad,Great,Bad,Okay,Bad,Bad,Okay,Bad,Unknown,Okay,Bad,Bad,Unknown,China,Asia,"Zhangzhou, China",24.5164639,117.6424895
809,Corpus Christi,3.0,Okay,Okay,Pricey,Super fast,Okay,Good,Good,Good,High,Very high,Great,Okay,Okay,Good,Okay,Good,Unknown,Unknown,Good,Bad,Great,Okay,Good,United States,North America,"Corpus Christi, United States",27.7951482,-97.3942053
810,Surat,3.07,Okay,Okay,Cheap,Fast,Good,Great,Good,Bad,Low,Very low,Okay,Great,Bad,Bad,Bad,Bad,Bad,Good,Okay,Okay,Bad,Okay,Unknown,India,Asia,"Surat, India",21.19177615,72.9544157804841
811,Jundiai,2.97,Okay,Bad,Affordable,Good,Okay,Bad,Very bad,Okay,Mediocre,Very low,Bad,Bad,Bad,Good,Okay,Bad,Bad,Okay,Okay,Bad,Great,Bad,Unknown,Brazil,Latin America,"Jundiai, Brazil",-23.1887668,-46.884506
812,Rovaniemi,3.03,Good,Okay,Pricey,Fast,Good,Good,Good,Good,High,High,Good,Bad,Okay,Great,Okay,Great,Unknown,Unknown,Great,Great,Great,Okay,Okay,Finland,Europe,"Rovaniemi, Finland",66.4976214,25.7192101
813,Oranjestad,3.1,Good,Okay,Pricey,Fast,Okay,Great,Good,Okay,Unknown,Low,Great,Bad,Okay,Unknown,Bad,Okay,Okay,Good,Unknown,Bad,Bad,Okay,Bad,Aruba,Latin America,"Oranjestad, Aruba",12.5268736,-70.0356845
814,Dili,2.8,Okay,Okay,Affordable,Unusably slow,Bad,Okay,Good,Bad,Low,Very low,Bad,Okay,Okay,Unknown,Bad,Bad,Okay,Okay,Okay,Bad,Good,Bad,Unknown,East Timor,Asia,"Dili, East Timor",-8.5536809,125.5784093
815,Maseru,2.99,Bad,Bad,Affordable,Slow,Bad,Okay,Very bad,Bad,Low,Very low,Bad,Okay,Bad,Bad,Bad,Bad,Bad,Okay,Good,Bad,Bad,Bad,Unknown,Lesotho,Africa,"Maseru, Lesotho",-29.310054,27.478222
816,Provo,3.01,Good,Good,Too expensive,Super fast,Bad,Great,Good,Good,High,Very high,Great,Great,Okay,Good,Good,Okay,Great,Good,Good,Good,Great,Okay,Okay,United States,North America,"Provo, United States",40.2337289,-111.6587085
817,Albany,2.99,Good,Okay,Pricey,Super fast,Okay,Great,Good,Great,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Great,United States,North America,"Albany, United States",42.6511674,-73.754968
818,Foshan,2.74,Okay,Bad,Affordable,Unusably slow,Okay,Great,Great,Bad,Mediocre,Very low,Bad,Bad,Bad,Okay,Bad,Bad,Bad,Okay,Unknown,Okay,Bad,Bad,Bad,China,Asia,"Foshan, China",23.1102636,112.99801241836545
819,Taos,3.0,Good,Okay,Pricey,Fast,Okay,Good,Good,Great,High,Very high,Great,Great,Okay,Good,Okay,Good,Unknown,Unknown,Good,Good,Great,Okay,Unknown,United States,North America,"Taos, United States",36.4072377,-105.573284
